City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
142,Santa Fe,-31.6333,-60.7,75.99,78,0,2.57,AR,clear sky
143,Richards Bay,-28.783,32.0377,75.4,89,95,7.63,ZA,overcast clouds
144,Allentown,40.6084,-75.4902,26.6,54,1,6.91,US,clear sky
145,Nishihara,26.1842,127.7558,71.6,37,40,18.41,JP,scattered clouds
146,Bengkulu,-3.8004,102.2655,85.19,61,42,10.07,ID,scattered clouds
147,Sumbe,-11.2061,13.8437,75.99,78,100,3.4,AO,overcast clouds
148,Mantua,45.1667,10.7833,45.0,96,29,1.99,IT,scattered clouds
149,Ekibastuz,51.6667,75.3667,34.95,99,100,24.74,KZ,light snow
150,Coquimbo,-29.9533,-71.3436,59.0,82,0,3.44,CL,clear sky
151,San Patricio,28.017,-97.5169,60.8,77,1,8.05,US,clear sky
152,Tranas,58.0372,14.9782,21.2,92,20,6.91,SE,few clouds
153,Aksay,47.26,39.87,15.8,79,40,8.95,RU,snow
154,Flin Flon,54.7682,-101.865,-30.06,81,42,11.1,CA,scattered clouds
155,Georgetown,5.4112,100.3354,90.0,51,20,5.75,MY,few clouds
156,Kavieng,-2.5744,150.7967,84.11,76,11,10.31,PG,moderate rain
157,Barcelos,41.5388,-8.6151,51.8,87,40,9.22,PT,scattered clouds
158,Chuy,-33.6971,-53.4616,63.68,87,31,5.57,UY,light rain
159,Port Hardy,50.6996,-127.4199,39.2,80,40,8.05,CA,scattered clouds
160,Machali,-34.1833,-70.6667,61.32,62,0,1.59,CL,clear sky
161,Saint-Augustin,51.226,-58.6502,13.03,93,33,8.01,CA,scattered clouds
162,Ciudad Bolivar,8.1222,-63.5497,77.49,72,96,12.06,VE,overcast clouds
163,Bredasdorp,-34.5322,20.0403,57.2,82,31,5.75,ZA,scattered clouds
164,Aklavik,68.2191,-135.0107,-27.4,68,100,10.36,CA,overcast clouds
165,Sibolga,1.7427,98.7792,87.96,56,99,4.79,ID,overcast clouds
166,Arraial Do Cabo,-22.9661,-42.0278,73.56,81,100,3.09,BR,light rain
167,Avera,33.194,-82.5271,35.6,85,1,5.64,US,clear sky
168,Carnarvon,-24.8667,113.6333,86.0,100,75,14.97,AU,broken clouds
169,Palmer,42.1584,-72.3287,25.0,63,75,11.5,US,broken clouds
170,Agadez,19.75,10.25,56.84,30,100,2.13,NE,overcast clouds
171,Lagoa,39.05,-27.9833,58.19,82,33,26.31,PT,scattered clouds
172,Ketchikan,55.3422,-131.6461,30.2,74,1,8.05,US,clear sky
173,Bachaquero,9.9694,-71.1494,81.19,72,52,5.99,VE,broken clouds
174,Pontes E Lacerda,-15.2261,-59.3353,67.78,70,100,1.36,BR,overcast clouds
175,Clyde River,70.4692,-68.5914,-7.6,84,40,6.91,CA,mist
176,Shache,38.4167,77.2406,38.52,62,45,3.0,CN,scattered clouds
177,Kavaratti,10.5669,72.642,82.04,64,95,8.3,IN,overcast clouds
178,Vestmannaeyjar,63.4427,-20.2734,39.04,73,98,21.88,IS,overcast clouds
179,Tongzi,28.7829,105.0877,64.06,45,100,0.72,CN,overcast clouds
180,Tuatapere,-46.1333,167.6833,65.23,72,100,4.25,NZ,light rain
181,Hirara,24.8,125.2833,73.4,60,40,16.11,JP,scattered clouds
182,Lorengau,-2.0226,147.2712,85.42,69,100,7.49,PG,overcast clouds
183,Niteroi,-22.8833,-43.1036,77.0,88,75,4.61,BR,moderate rain
184,Vila,42.0304,-8.1588,44.01,95,95,13.0,PT,overcast clouds
185,Vostok,46.4856,135.8833,-4.04,90,100,6.64,RU,overcast clouds
186,Sorland,67.667,12.6934,34.77,81,98,6.17,NO,overcast clouds
187,Inhambane,-23.865,35.3833,78.8,94,40,8.84,MZ,light rain
188,Ilulissat,69.2167,-51.1,19.4,42,0,29.93,GL,light snow
189,Puerto Escondido,15.85,-97.0667,80.6,83,20,5.53,MX,few clouds
190,Abilene,32.4487,-99.7331,59.0,38,1,14.97,US,clear sky
191,Poum,-20.2333,164.0167,81.3,71,2,9.8,NC,clear sky
192,Kerman,30.2832,57.0788,46.4,76,40,3.36,IR,scattered clouds
193,Tilichiki,60.4667,166.1,10.58,95,70,9.86,RU,broken clouds
194,Norman Wells,65.282,-126.8329,-23.8,76,20,5.75,CA,few clouds
195,Novyy Urengoy,66.0833,76.6333,4.17,94,100,12.01,RU,overcast clouds
196,Longyearbyen,78.2186,15.6401,15.8,41,0,13.8,SJ,clear sky
197,Devils Lake,48.1128,-98.8651,-20.2,76,1,9.22,US,clear sky
198,Goma,-1.6792,29.2228,63.12,69,100,3.27,CD,overcast clouds
199,Palana,59.1167,159.9667,20.43,93,0,17.9,RU,clear sky
200,Mitchell,43.7094,-98.0298,1.4,78,90,5.75,US,overcast clouds
201,Pisco,-13.7,-76.2167,71.6,83,20,9.22,PE,few clouds
202,Enzan,35.7,138.7333,55.99,29,0,10.0,JP,clear sky
203,Keti Bandar,24.1447,67.4497,76.59,24,0,4.76,PK,clear sky
204,Pringsewu,-5.3582,104.9744,85.84,68,58,6.67,ID,broken clouds
205,Tuktoyaktuk,69.4541,-133.0374,-29.2,68,40,8.05,CA,scattered clouds
206,Znamenka,52.4167,41.4311,-6.41,91,85,7.61,RU,overcast clouds
207,Kahului,20.8947,-156.47,73.4,56,20,9.22,US,few clouds
208,Riyadh,24.6877,46.7219,55.4,71,0,11.5,SA,clear sky
209,Makat,47.6469,53.3463,13.33,77,0,14.09,KZ,clear sky
210,Gat,31.61,34.7642,52.0,87,0,4.61,IL,clear sky
